임창민,1985-08-25,07-03,KIA,L 2:8,0,1.0,3,3,7,4,2,1,0,0,2,0,0,1,30,2.00,0.289,0.571,1.321,10.64,0.68,-2.45,-0.113,,,3일
원종현,1987-07-31,05-05,@삼성,W 4:0,0,0.2,0,0,2,2,0,0,0,0,0,0,0,1,7,0.00,0.000,0.000,0.000,0.00,0.90,1.24,0.047,,SV,7+일
원종현,1987-07-31,05-12,KT,W 7:6,0,1.0,0,0,4,3,0,0,0,0,1,0,0,1,15,0.38,0.000,0.250,0.250,0.00,2.37,0.56,0.137,,W,6일
원종현,1987-07-31,05-14,KT,W 1:0,0,0.1,0,0,3,3,2,0,0,0,0,0,0,1,8,1.00,0.200,0.667,1.333,2.25,4.88,0.12,0.036,,SV,1일
원종현,1987-07-31,05-19,@두산,W 5:4,0,1.1,0,0,5,5,1,0,0,0,0,0,0,2,19,0.95,0.174,0.200,0.400,1.42,3.23,1.02,0.322,,SV,3일
원종현,1987-07-31,05-26,키움,W 7:2,0,1.1,0,0,4,4,0,0,0,0,0,0,0,0,15,0.92,0.194,0.000,0.000,1.04,1.35,1.37,0.137,,SV,3일
원종현,1987-07-31,05-29,@삼성,L 4:5,0,0.2,2,2,5,4,3,0,0,0,0,0,0,0,8,1.10,0.243,0.750,1.500,2.70,5.10,-1.70,-0.800,BLSV,L,1일
원종현,1987-07-31,06-07,@한화,W 8:2,0,1.0,0,0,3,3,0,0,0,0,0,0,0,2,10,1.08,0.244,0.000,0.000,3.75,0.04,0.56,0.003,,,4일
원종현,1987-07-31,06-12,키움,L 2:3,0,1.0,0,0,4,4,1,0,0,0,0,0,0,1,16,1.00,0.231,0.250,0.500,3.21,1.94,0.56,0.137,,,1일
원종현,1987-07-31,06-19,한화,W 3:1,0,1.0,0,0,5,4,1,1,0,0,1,0,0,2,18,1.06,0.241,0.400,0.900,2.81,2.11,0.56,0.074,,SV,5일
원종현,1987-07-31,06-23,@KT,W 4:3,0,1.0,0,0,4,3,0,0,0,0,1,0,0,0,14,0.98,0.215,0.250,0.250,2.45,2.85,0.56,0.200,,SV,2일
